LOAN_NO,age,channel,education,income,install_num,is_attach,is_fam_know,is_fam_reg_add,is_insuuance,is_reg_live,live_build_type,loan_amt,mar_level,mar_status,mobile_time_span,mth_repay_amt,mth_repay_date,mth_tel_bill,nation,no_close_loan,sex,str_level,unit_prov,unit_scale,FPD30,unit_is_live,reg_is_unit
660002019021500754,31.0,PC,高中,7104.0,3.0,1.0,是,1.0,1.0,否,宿舍,2000.0,A1,未婚,5010.0,842.0,15.0,50-100,汉族,1.0,男,0.0,新疆,20-50,0.0,1,1
660002019030701183,21.0,PC,中专,7105.0,3.0,1.0,否,1.0,1.0,否,宿舍,2000.0,A1,未婚,5008.0,842.0,7.0,50-100,汉族,0.0,男,0.0,陕西,20-50,1.0,1,1
660002019030203425,22.0,微信,初中,2000.0,9.0,1.0,否,0.0,1.0,否,租赁,4000.0,A1,未婚,10.0,638.0,2.0,0-100元,汉族,1.0,男,0.0,贵州,0-5,0.0,1,1
660002019030203829,26.0,微信,高中,6000.0,12.0,1.0,是,1.0,1.0,是,全款,7000.0,A1,已婚有子女,26.0,880.0,2.0,50-100,汉族,0.0,男,0.0,贵州,0-5,0.0,1,1
660002019021000458,34.0,微信,中专,4500.0,9.0,1.0,否,1.0,1.0,否,宿舍,4000.0,A1,已婚有子女,23.0,638.0,10.0,100-150,汉族,0.0,男,0.0,广东,200+,0.0,1,0
660002019022001886,33.0,微信,初中,7101.0,3.0,1.0,否,0.0,1.0,否,租赁,2000.0,A1,已婚有子女,5008.0,842.0,20.0,50-100,汉族,1.0,女,0.0,贵州,0-5,0.0,1,0
660002019022101870,24.0,PC,大专,7105.0,3.0,1.0,是,1.0,1.0,否,宿舍,2000.0,A1,未婚,5008.0,842.0,21.0,100-150,rare_nation,1.0,女,0.0,西藏,50-100,0.0,1,0
660002019030400761,25.0,PC,中专,4000.0,4.0,1.0,否,1.0,1.0,否,租赁,2000.0,A1,未婚,24.0,649.0,4.0,101-200元,汉族,0.0,男,0.0,甘肃,0-5,0.0,1,1
660002019021503323,24.0,微信,初中,4500.0,12.0,1.0,是,1.0,1.0,否,宿舍,4000.0,A1,未婚,1.0,510.0,15.0,0-100元,汉族,0.0,男,0.0,江苏,5-10,0.0,0,0
660002019020300584,29.0,微信,初中,7103.0,3.0,1.0,否,1.0,1.0,是,自建房,2000.0,A1,已婚有子女,5009.0,842.0,3.0,50-100,彝族,0.0,女,0.0,云南,0-5,0.0,1,1
